008_George_Bond,"Amante de los autos y la tecnología"
A_Grosselfinger,"Living the dream since MCMXCVI.9teen|Directioner|Tributo|LoverOfBooks|We Believe|I♡YouTube|Disney Niall's Princess. Esternocleidomastoideo."
a_lazcano,""
a_nflores,""
A_Nuricumbo,"Public Accountant. Certified in Mexico and USA. Specialist in Latin America. CFO. Auditor. Consultant."
A_Omar_Rivera,"Homo sapiens macho en edad reproductiva, de inteligencia promedio y limitadas capacidades sociales. Fisicamente impedido para ser amable"
A_TOWNSHEND,"Médico de profesión, me gusta cocinar tocar guitarra, pasarla bien con mi familia y amigos, odio la gente hechona y perezosa, y mi lifetime team es el ManU"
A_Varillas,"Periodista, vampira y lunar..."
A_VenegasP,"Searching through human truths #Insights. The #creation of #value and #opportunities for companies through #innovation, #branding & #marketing 3.0"
A_Von_Borstel_G,"Sonorense, Crítico, amante del bien hacer y del bien ser para poder bien estar..."
AA_DF,"Contribuye a la comunidad “Ayuda a Alguien” generando información útil y valiosa en tiempo real para cuidarnos entre nosotros.  Publicidad: mándanos DM"
AAAAMAYAAYALA,"Constructor"
aaandreav,"Amante de la música, la fotografía, el cine y de lo extraordinario. Creo en la magia y en que puede suceder en cualquier instante."
aaariasz,"Sigan viendo reinados y partidos de fútbol mientras nos meten todos los impuestos y nos convierten en algo peor q Venezuela"
aaayalaaa,""
aaaychabela,"Futbolera, politiquera y seguidora de las buenas notas"
aabaquerod,""
AABenedetti,"Senador de la República. Twitter Oficial."
AaBobperni,""
aacevedof,""
aaer64,""
aajimeno,"Básico y legal."
AAleskndon,"Ciudadano, Universitario, Aspirante de las tecnologías, La programación, El hacking, El software libre, criticó, amante la literatura y las artes..."
aalteee,"Graphic design | Photography | Clubbing | #privatesessionsmx | Mexico City | instagram@alteparalosamigos"
aanarodriguez,"IG/Snapchat: aanarodriguez"
aaronbntz,"Autor #hackearlavida, #PADs y #7DEM. Profesor e invitado @TEDx, @UNAM, @TecdeMonterrey. CEO @waterhouse_mx, @versebc y @versetechnology."
AaronGT71,"#NoTeRajes Chivas!"
AaronHdz8,""
aaronsc41,""
AaroonVel,"EASY COME, EASY GO."
AaSegura,"Entiendo de argumentación pero disfruto las falacias."
abalcazar,""
abalui23,"Ser mexicano es una de las pocas cosas que me causan, al mismo nivel, tanto vergüenza ajena como un profundo orgullo."
AbanPraxedis,"Sólo somos sueños"
ABarrancoCh,"Columnista Financiero de @El_Universal_Mx Conductor de Leyenda Urbana por @Proyecto40 Cronista de la Ciudad de México y Amante de la historia."
abarreneche,"Mexicano, Maestría en Finanzas (EBC), Deportista, Amante de la naturaleza, Aficionado a la lectura"
abarrera2010,""
abaunzaalvaro,"Abogado"
abbar84,""
AbbyGr_,"Amo la música, los videojuegos, gadgets, F1, el cine y los libros. Trabajo para el #GDF esperando contribuir día con día para mejorar nuestra maravillosa #CDMX."
abbyrojas_,"Mexicana •Puedo compartir todo contigo menos mi pay de queso •"
abejaconmiel,"Católica por tradición, Abeja negra de la familia. No existo, me piensas. NO ME ENTIENDAS; ÁMAME. Mamá 24/7"
abejapoblana,""
abel_perseo,"Soy una persona que le gusta conocer gente de todas partes y poder expresar mis ideas sobre cualquier tema. Soy simpático, atento, detallista etc."
AbelAmezquita,"Lic. en Contaduría Pública"
ABELARDOMORAFAN,""
abelestudillo,"Mexicano, de muchas partes. Nacido en puerto crecido en muchos más. Me hice abogado por los sueños y la ilusión de un México mejor; estamos en la lucha."
abelgonzalez,"Ing. Mec. Elec. por la UNAM, ¡PUMA!. PMP, CMMI Process Consultant. Soñando un México sin corrupción. JAJA"
AbelGuerreroM,"Strive For Greatness ♛"
abelinoflores2,""
abeliqo,"Estudiante de educación"
abelitonoyo1,""
abella_ps,""
abelmungu,"LIC. CIENCIAS DE LA COMUNICACIÓN Y PERIODISMO, UNAM,  GOBIERNO DEL DISTRITO FEDERAL, PERIODICOS, REVISTAS, FREE LANCE EN EDITORIAL"
abelqueal,"Libros, intento de idealista y de más,amante del fútbol y de la buena música como el rock,ska y reggae..."
ABELSCKANDAR,"Si nunca afrontas el miedo de dejar de ser como eres, nunca descubriras la alegria de ser como puedes ser. #F1 #NFL"
Aben_Gonzalez,"F•U•C•K•T•H•E•R•E•S•T"
abenita_pit,"Cirujano de Cardiopatías Congénitas. Triatleta en ciernes. Amante de la lectura. PUMA hasta la muerte. Odio el mal gobierno, el mesianismo. #VOTONULO"
abfarey,""
abg_6,""
abgjuanfeza,""
abi_Benita,"24/10/14 conocí a Sebastián Villalobos 15/02/15 The party tour CD9 14/06/15 conocí a Choche :3 ... Lo imposible solo tarda un poco más :3"
Abi_LS,"|YouTube, Vine y La Voz México cambio mi vida, con mis hermosos chicos | Prisoner ♡ Arianator ♡"
abibianita,"Orgullosa estudiante de la #UNAM, apasionada de la estadística y las nuevas tecnologías, amante de los perros. Promotora de la Educación en Línea."
AbigailCastano,"La música me apasiona. Nutrióloga en proceso. Colombiana de sangre, Mexicanisima nopaluda de corazón."
abigailquito1d,"instagram- snapchat: abby_quito DIRECTIONER CABALLEROS PDC BatiNovia Humanoide Bullysterica Jaramishana Bautister Janer Paisana Zuricata Lobita Rkgirl Saak"
abimaelnava1985,""
abinhds,"..Abre mi concienciaDame el caminoEncontrar mi esenciaEs mi destino..A soul in tension that's learning to fly,condition grounded but determined to try"
abiuders,"Dr.faustus"
abiuzumaki001,"me gusta One Ok Rock.Elrubius.Megadeth.y el pan, siempre tengo pan 7u7 no quieres uno? cx amo a Mario Aguilar❤, chula por siempre."
ablanco93,"Aaaaaarrrrroooozzzzz!"
ablanguti,"HALA MADRID y nada mas"
ablgonzaal,""
abn,"1994. Product Designer @TheMotionVideo (and freelance). My bosses and clients pay me to do what I love ⚡️ hola@alvarobernal.me"
AbnerMtzC,"Yucateco, Alegre e Inquieto por una mejor sociedad, Estudiante de IGE en PYMES en el ITM y Presidente del Comité Nacional de Ingeniería en Gestión Empresarial."
AbnerSoriano,"Soy abogado por vocación, político por convicción, egresado de la Facultad de Derecho de la UNAM, buen amigo, leal y comprometido, PUMA desde la cuna."
abogadoris,"Mediadora,Abogada humanista,libre pensadora. Referentes: El  Nigromante,  los Hnos Flores Magón, Nietzche,Foucault, Carmen Aristegui, Lidia Cacho, Martha Lamas"
abojapones,""
aboterov,"Improvisando"
Abox10,"Ad vocatio. Iustitia est constans et perpetua voluntas ius suum cuique tribuendi."
abragelonne,"Porno para el alma. Me encuentran  @ViceMexico."
abrahajam,"intenso amante de recuerdos perdidos!"
abraham930801,""
Abraham_Bama91,"Fisioterapia! Gay! Skype: abrahambama Instagram: abraham91bm Twitter: @Abraham_Bama91"
Abraham_Rob91,"Licenciado en Contaduría Pública por la Benemérita Universidad de Guadalajara/ Miembro activo del @PRD_de_Jalisco"
abrahamfraga,""
AbrahamHC_,""
AbrahamLeal_,""
abrahammorua,"Al principio de un cambio, el patriota es un hombre escaso y valiente, odiado y despreciado. Sin embargo cuando su causa tiene éxito, el tímido se le une"
AbrahamRSal,"Odontólogo."
abrahamshehell,"Kalos kagathos/ What a great pleasure it must be to have a friend as wonderful as me."
AbrahamVen,"Miembro de @limooficial, estudiante de ingeniería química."
abrahamways,""
abralo11,"Amante a la antigua..."
abrcohen,""
AbrhamyRom,"Economista especialista en finanzas. Escribo para medios especializados. #Relojes #Mercedes Un hijo que juega #golf"
abrhm39,""
Abril_Julie,""
Abrilandres6,""
AbrildeRomero,"Si vivo en sociedad sólo es para tener de qué quejarme #CrónicasdeMisantropía"
Abrillyg,"Cachanilla. Gusto por el tequila y el baile, la lectura y otros placeres."
AbrilMorales8,"¿Te llamas Mario Alberto Bautista Gil?¿Tienes 19 años? ¿Eres vinestar?¿Llegas a tocar la perfección? Bautister."
abrilmoreno65,"no_description"
abrilourdes,"SOY PROFESORA EN CIENCIAS Y ME GUSTA MUCHO TRABAJAR CON MIS ALUMNOS, ELLOS SON UNA FUENTE DE JUVENTUD Y CONOCIMIENTO"
abrilparada,"Si quieres algo, que esperas!"
ABRILRAMJOSE2,""
abRojas8,""
absurdorient,"no_description"
abuamy,""
Abuelocj,""
abulafi74,""
abyckspg,"Feliz padre de Ximena, aprendiendo cada día a ser mejor. Estudié para ser contador, pero ni los chistes cuento bien. Halá Madrid y nada más..."
abyjuarez05,""
abyromero63,"guapa, simpatica y alegre"
AcabateLocosTam,"Cuenta dedicada al programa #Acabatelo y #LaViudaNegra @la_serradilla @julianroman"
acamilotrujillo,"No importa cuan alto sean los muros, yo soy el capitán de mi alma y el guardián de mi destino."
acampos74,""
acanovelez,"Sonorense. Director General de @SHFoficial . Presidente de la Fundación Cano Vélez, Ayudo y Me Gusta A.C. Ex Presidente Federación de Colegios de Economistas"
acapittovelasco,"Bibliófilo, cinéfilo. Abogado financiero, romántico , utópico y soñador. Impaciente, escorpión, amiguero y algo bipolar. Cazador de sueños."
acastel,"Software Libre - OpenGov - FSFLA http://t.co/yjXgvDcwiD - GNU/Linux, Viajero, Innovador, Emprendedor, amante del Rock y la pasta acastel@fsfla.org"
acastillom21,""
acastillomay,""
acastilop,"Biologo comprometido con la conservación del capital natural de México."
acaydeco,"Nadie se sumerge en ninguna aventura esperando resultados mediocres..."
accesviolet,""
ACCIONPLANETA,"Consultor en Sustentabilidad - Biomimicry - Investigador Cambio Climático - Fundador de Acción Planeta y Eco Woolis - diseña, desarrolla e implementa soluciones"
AccionpoeMiguel,""
ACDCporMexico,""
acebermartinez,"La vida es corta:rompe reglas, besa despacio, ama con locura, ríe mucho y nunca te arrepientas de lo que te hizo sonreir."
ACecyalejandro,""
aceroalmonacid,"Padre y Esposo amoroso, Trabajador Orgulloso en la UN"
acerodiego,"Periodista @NOTICIASCARACOL   @acerodiego en Instagram"
aceroindumill,""
aceromora,"Aquí se escribe de todo un poco, de bicis, de política, de medio ambiente, de salsa, de deporte. Ah, son opiniones personales. https://t.co/ZCE417y1q2"
Acevedo_JFA,"Lawyer and Political Scientist #HalaMadrid #Gottessohn"
AcevedoFarith,""
acevedom_h,""
AcevedoRic,"Talento @CaracolTv - Productor @BluRadioCo en Bogotá. Papá de Simón y Samuel. Ex @RCNRadio y @SuperEstacion // Dj x hobbie. ¯\__(ツ)__/¯"
aceventurass,"Los caminos de la vida no son como yo pensaba..."
aceves_marisol,"Licenciada en Trabajo Social por la U.N.A.M. Un poco de conocimiento con acción vale infinitamente más que mucho conocimiento inerte...Khalil Gibrán"
acftw,"Puebla, MX. | Instagram: aleecancino"
acgina,"Periodista-Comunicadora social. Amo mi trabajo, los animales, los buenos amigos y viajar por el mundo. Enamorada de la vida. ❤️ Opiniones personales."
ACHEcolonos,"Cuenta oficial de la Asociación de Colonos de La Herradura en Huixquilucan, Edo. de Méx."
achg1,""
achichilco13,"amo a mis 5 perros y a mí gatito"
acidaniel,"Live for today, gone tomorrow, that's me!!!!"
Aciditos,"Soy como el amor de tu vida pero más pendejo. Snapchat: Aciditos"
AcidO_Ok,"no_description"
acimedellin,"Creamos lazos con el mundo para el desarrollo de Medellín y Antioquia | Invest Medellín"
acis3333,"Análisis, Libre pensador, Política, Cultura, Salud, Deporte, Apoyo y Gestión Social, Coadyuvante de la Seguridad."
acl268003,""
AclarandoPuntos,"Las cosas tan claras como el agua."
AcleTomasini,"Editorialista, analista político y escritor. Autor de La inoportuna muerte del presidente y Griten que ya partí"
acmusicaligera,"La Música es la armonía de todos los sentidos"
acoiba,"Ingeniero Civil y Administrador por la Universidad Panamericana campus Guadalajara. Amante del rock y del fútbol."
ACOLTES,"ACOLTÉS, Asociación Colombiana de Transporte Terrestre Automotor Especial,   nace el 5 de mayo de 1999. Al servicio de las empresas de Transporte Especial."
AcostaYasfir,""
acquaise,""
acquaoceans,"Moi même"
acquavergine,"Museum Studies + Traveling Exhibitions + Visitor Experience + Edutainment + @HarvardEXT + Coolture's Manager"
acrata240155,""
ACRINOX,"Diseñamos y fabricamos su proyecto en acero inoxidable.    3316094271    Id nextel 62*12*47674   331-569-3518  1664-0094"
acrisrosen,""
acriza29,""
Actata1,""
ActFerArroyo,"Empresario. Director General en @gii360 Triatleta y TrailRunner.  Instagram: Fernandek"
actualidadpanam,"Noticias únicas para visitantes únicos."
ActualidadRT,"El primer canal de TV ruso en español con alcance mundial. Les brindamos las noticias que realmente importan. Lo más relevante del panorama internacional, en RT"
AcuAngelica,"Secretaria General Superintendencia de Industria y Comercio"
acuario_sara,"27 01"
acvilleda,"Periodista. Director Editorial de Grupo @Milenio y autor de la columna #Fusilerías. UNAM e IFAL. Libros, dinosaurios, NFL, tenis, cine, rock. Rollos personales."
Ad_Limon,"No trato de ser lo que no soy, ni pretendo impresionar a nadie... Simplemente soy yo! RP en Porternovelli enamorada de la vida y de la honestidad ;)"
ada24wong,""
ada_lso,"X-Phile, TV Addict. Book lover. Cowboys fan. I twitt or RT in English, Spanish & sometimes in French."
AdaIsaFer,"Diseñadora gráfica."
adakarenqv,"Runner. Apasionada gastronómica. Coleccionista de recuerdos. Aprendiendo de la vida."
adakinher,""
adan_ruiz,"Realizador interesado en el género documental - Productor - @RedNacionalArte | @CinePlanetaBlog. Lic. en Medios Interactivos. Music Arts Tech Cinema Photography"
AdanAlgaba,""
Adanciux,"Desarrollador de Software, reflexionador, pacífico, curiosón..."
AdanLibre,"Que otros escriban aun el gran poema,las rimas sonoras dignas de elogios.A mi solo me importa el testimonio del momento inasible.La rima inconclusa, sin medida."
adanmatla,"Estudiante @FacDerUV • Voluntario en @Hazlo_Tuyo • @ToastmastersGZM • #GANG"
AdanMoctezuma1,""
AdanPadillaMtz,"Trámite y proyectos de obra eléctrica"
adantadeo,"Se hace diseño."
AdanTime,"Observador de la ciudad de México"
AdanVargas1988,""
AdasOz,"Watching the world wakes up from history"
Adc_AbapFactory,"Brindamos servicios de Consultoría ABAP especializada en desarrollar soluciones a la medida para su organización contacto@adcfactorytech.com"
ADCMexico,"Somos agentes de cambio que apostamos por México y sus habitantes, por mostrar lo mejor de nuestro país; también somos críticos de lo que puede y debe mejorar."
adcuri,"Curiel te es fiel."
AddelaMoreira,"no_description"
AddhiRmz_19,"On the top of the world ♫"
AddThis,"Our website tools give your visitors a personal experience by showing them the right content at the right time.  Get support at @addthissupport."
addthis,"Our website tools give your visitors a personal experience by showing them the right content at the right time.  Get support at @addthissupport."
adecas2000,"Todos los comentarios son a título personal"
adecgar,"Dios se interesa por las personas a través de la personas!"
Adela_Micha,"periodista mexicana de las Noticias Por Adela en Televisa"
adelaida_marti,"candidata a la diputación local por el XIII Distrito slp"
adelanavarro,"Directora General del Semanario ZETA; en Baja California, libre como el viento"
adelastylesleto,"no_description"
adelespi,""
AdelinaGuerrero,""
adellcarral,""
adelprado,""
adelvalmo,"ITAM: Derecho y C. Política. Estudiante UNAM. Animalista. Líder d Agenda Juvenil PRI Edomex. Soy Kybernus. Colaboro en ISSSTE. Portera en fut femenil. ¡PUMAS! ⚽"
adelwtest,"Epicurienne, mam's curieuse dans tous domaines, à l'affût : de nouveautés, originalités...Epicurean, Curious Mom, I am on the lookout for new, originality!"
adepinova,"vivir cada día con su afan y disfrutar cada segundo de cada afán"
adevaldes,"comentarista, atlantista, diablo rojo, raider y dodger"
adf06a0e382c48b,"vivo cada día como si fuera el último, amo a Dios que me da la vida y lo que tengo."
adhjani,""
adiazpi,"Doctor en Derecho UNAM, Lic. en Derecho UJED, periodista, escritor, Academico Investigador UAM, abogado, Expresidente Rotario, Sigo a quien me siga (no trolls)"
ADIB16,""
adicg,"Ejecutiva de cuenta en @RoninPPRR Mi talento oculto es la marimba, el Kit Kat me hace feliz"
AdielRamirez,"Camino a Coatepec, Ver."
adiiielo,"Soy una persona normal, hasta que entro en confianza ¯\__(ツ)__/¯ Divertido, sarcastico, optimista! Disfruto y Amo la vida y todo lo que hago..."
adir_s17,"¡Un saludo al amor de mi vida, que sabrá donde chingados anda!"
aDisenoMX,"Revista de diseño, fotografía, mercadotecnia, publicidad y estilo de vida."
Adita_diaz,"Tehuana/xhunca/chilanga. Sicarulu' shuncu' huiini. We can’t always control the situation, but we can always choose to control our reaction to it. Feminist."
adithomsen,"Bailar bailar bailar, Recomiendenme algun libro. Odio el momento de despertar."
ADITIALE,""
adityajangid15,""
adivazj,""
adixteo,"Estudiante de LTIN en CUCEA, entusiasta del Software Libre, Drupalero de hueso colorado, aficionado de la música, series y creatividad en general."
Admao91,"Life is a solo trip, but you’ll have lots of visitors. // Me gusta Abril pero dime María // Estudiante de medicina y crossfitera de corazón."
ADN_Deportivo,"¡Somos https://t.co/k43n1c1NJ3, la pasión que hay en ti! Deporte + Entretenimiento https://t.co/1BCf9Qeisq"
adncolombia,"Primer diario gratuito colombiano. Este es el ADN de Bogotá. Todo lo que quieres saber está en ADN. ¡Pásalo!"
adncorona,"Cirujano Oftalmólogo, Especialista en Orbita, Párpados y Vías Lagrimales."
ADNDan_,"Valen más mis cuentos que tu vaga intuición..."
ADNPolitico,"Las principales noticias sobre política en México. De @CNNMex"
ADNQro,"Portal de noticias en tiempo real en Querétaro"
adnware,"Viniste a ser feliz, no te distraigas."
AdoJuarez,"Sistemas de Protección Joya SA de CV"
Adolfo_ZapataMx,"SI LOS MEDIOS CALLAN LAS REDES HABLARÁN #Ambientalista #Antitaurino #Activista #Ayotzinapa #+43 #NoALaCensura #YaMeCansé"
